название,номер метки в дереве,страна где находится,стоимость посещения,необходимость в гиде,зависимость от квалификации гида,время необходимое для посещения и осмотра,примерное время строительства/основания,среднее количество посетителей за день,наличие диких зверей,наличие уникальных зверей,рельефные особенности,лучший сезон для посещения,архитектурный стиль,религия,количество видов растений
Великая Китайская стена,6,Китай,8$,нет,низкая,2 часа,300 год до н.э.,55000,да,да,да,"апрель,май,сентябрь,октябрь","Оборонительный,Монументализм",-,-
Мачу Пикчу,6,Перу,40$,нет,высокая,1 час,1450 год н.э.,2500,да,да,да,"апрель,май,сентябрь,октябрь",Архитектура инков,Мифология инков,-
Петра,6,Иордания,70$,нет,высокая,3.5 часа,1800 год до н.э.,2000,да,нет,да,"сентябрь,октябрь,ноябрь",Петрейская архитектура,-,-
Тадж Махал,6,Индия,13$,нет,высокая,3 часа,1632 год н.э.,22000,да,нет,да,"февраль,март",Могольская архитектура,Ислам,-
Статуя Христа Искупителя,6,Бразилия,5$,нет,низкая,1 час,1920 год н.э.,5000,да,да,да,"сентябрь,октябрь",Неоготика,Католицизм,-
Чичен Ица,6,Мексика,15$,да,высокая,5 часов,455 год н.э.,7000,да,нет,да,"декабрь,январь,февраль,март,апрель",Архитектура майя,Религия майя,-
Колизей,6,Италия,15$,нет,высокая,2 часа,80 год н.э.,19000,нет,нет,да,июнь,Архитектура дрвенего Рима,-,-
Пирамиды Гизы,6,Египет,10$,нет,низкая,1.5 часа,4500 год до н.э.,10000,да,да,да,"май,сентябрь,октябрь",Уникальный,Религия древнего Египта,-
Эйфелева башня,7,Франция,21$,нет,низкая,1 час,1889 год н.э.,25000,нет,нет,нет,"апрель,май,сентябрь,октябрь",Конструктивизм,-,-
Нгоронгоро,20,Танзания,400$,да,низкая,6 часов,-,3000,да,да,да,"июль,август",-,-,-
Собор Василия Блаженного,14,Россия,5$,нет,высокая,0.5 часа,1561 год н.э.,1500,нет,нет,нет,"апрель,май,август,сентябрь,октябрь",Русская готика,Православие,-
Бродвей,5,США,0$,нет,низкая,-,1667 год н.э.,100000,нет,нет,нет,"март,апрель,май,июнь,июль,август,сентябрь",-,-,-
Рыбный рынок Цукидзи,26,Япония,0$,нет,низкая,2 часа,1935 год н.э.,10000,да,да,нет,"март,апрель,сентябрь,ноябрь",-,-,-
Хофбройхаус,27,Германия,0$,нет,низкая,1 час,1607 год н.э.,30000,нет,нет,нет,"май,сентябрь,октябрь",Немецкий классицизм,-,-
Замок Бран,10,Румыния,16$,нет,высокая,1 час,1212 год н.э.,1000,да,нет,да,"апрель,май,сентябрь,октябрь",Неоготика,-,-
Синнерей Зилерталь,30,Австрия,20$,нет,низкая,1.5 часа,1954 год н.э.,100,да,нет,да,"май,сентябрь,октябрь",-,-,-
Замок Химедзи,4,Япония,0$,нет,высокая,3 часа, 1609 год н.э.,3600,да,нет,нет,"апрель,май,июнь,июль","Японский",-,-
Дом Фредди Меркури,12,Танзания,10$,нет,низкая,0.25 часа,-,4000,нет,нет,нет,"июль,август",Архитектура суахили,-,-
Большой Барьерный риф,17,Австралия,0$,нет,низкая,3 часа,-,10000,да,да,да,"апрель,май,сентябрь,октябрь",-,-,-
Водопад Анхель,21,Венесуэла,0$,нет,низкая,1 час,-,500,да,нет,да,"декабрь,январь,февраль,март,апрель",-,-,-
Уцуцу,15,Япония,0$,нет,высокая,0.25 часа,-,-,нет,нет,нет,"апрель,май,сентябрь,октябрь",Японский,Синтоизм,-
Зоопарк Сан-Диего,19,США,71$,нет,низкая,3 часа,1916 год н.э.,15000,да,да,нет,"апрель,май,июнь,сентябрь,октябрь",-,-,6500
ЭкоДеревушка,29,Россия,5$,нет,высокая,1 час,2015 год н.э.,100,да,нет,нет,"июнь,июль,августь",-,-,-
Ботанический сад Монреаля,22,Канада,13$,нет,высокая,2 часа,1931 год н.э.,10000,нет,нет,нет,"май,июнь,июль,август",-,-,21000
Писающий мальчик,11,Бельгия,0$,нет,низкая,0.25 часа,1619 год н.э.,-,нет,нет,нет,"апрель,июль,сентябрь","Готика,Ренессанс",-,-
Березинский биосферный заповедник,18,Беларусь,3$,нет,высокая,2 часа,1925 год н.э.,200,да,нет,да,"май,июнь,август,сентябрь,октябрь,февраль",-,-,2000
Da Narbone,24,Италия,0$,нет,низкая,1 час,1872 год н.э.,2000,нет,нет,нет,"июль,август,сентябрь",Ренессанс,-,-
Floresta Das Escadinhas,25,Португалия,0$,нет,низкая,2 часа,-,2000,нет,нет,нет,"май,июнь",-,-,-
Гранд канал,12,Италия,0$,нет,высокая,3 часа,421 год н.э.,-,нет,нет,да,"июнь,август,сентябрь","Византийский,Романский,Готика,Ренессанс",Католицизм,-
Диснейлэнд Париж,12,Франция,77$,нет,низкая,10 часов,1992 год н.э.,34000,нет,нет,нет,"сентябрь,октябрь,март,апрель",-,-,-
Бурдж Халифа,2,ОАЭ,42$,нет,низкая,2 часа,2010 год н.э.,4100,нет,нет,нет,"октябрь,апрель",Постмодернизм,-,-
Терракотовая армия,10,Китай,14$,нет,высокая,2 часа,200 год до н.э.,10000,нет,нет,нет,"март,апрель","Китайский",-,-
Лувр,12,Франция,19$,нет,высокая,4 часа,1792 год н.э.,10000,нет,нет,нет,"март,апрель",Классицизм,-,-
Саграда Фамилия,2,Испания,30$,нет,высокая,1.5 часа,1882 год н.э.,14000,нет,нет,нет,"июль,август","Неоготика,Модерн",Католицизм,-
Килиманджаро,20,Танзания,1200$,да,низкая,168 часов,-,100,да,нет,да,"июль,август",-,-,-
Озеро Блед,21,Словения,22$,нет,высокая,3 часа,-,300,да,нет,да,"сентябрь,октябрь",-,-,-
Пустыня Сахара,20,Египет,0$,нет,низкая,1 час,-,-,да,да,да,"январь,февраль",-,-,-
Остров Пасхи,17,Чили,600$,нет,высокая,24 часа,-,-,да,да,да,"декабрь,январь,февраль,март",-,-,-
Озеро Байкал,21,Россия,0$,нет,низкая,2 часа,-,-,да,нет,да,"декабрь,январь,февраль",-,-,-
Мечеть Султанахмет,14,Турция,3$,нет,высокая,1 час,1616 год н.э.,15000,нет,нет,нет,"сентябрь,октябрь,февраль,март",Османский тип,Ислам,-
Аокигахара,12,Япония,0$,нет,низкая,1 час,-,-,да,нет,нет,"апрель,октябрь",-,-,-
Фудзи-Хаконе-Идзу,20,Японимя,4$,нет,низкая,3 часа,-,700,да,нет,да,"апрель,май,сентябрь,октябрь",-,-,-
Собор Парижской Богоматери,14,Франция,5$,нет,низкая,1.5 часа,1345 год н.э.,35000,нет,нет,нет,"июнь,июль,август",Готика,Католицизм,-
Чижик-Пыжик,10,Россия,0$,нет,низкая,0.25 часа,1994 год н.э.,-,нет,нет,нет,"июнь,июль,август",-,-,-
Кунтскамера,12,Россия,4$,нет,высокая,2 часа,1734 год н.э.,1000,нет,нет,нет,"июнь,июль,август",Русское барокко,-,-
Пидуруталагала,18,Шри-Ланка,0$,нет,высокая,3 часа,-,3000,да,нет,да,"декабрь,январь,февраль,март",-,-,-
Пизанская башня,7,Италия,25$,нет,низкая,1 час,1173 год н.э.,320,нет,нет,нет,"май,август,сентябрь",Романский,-,-
Парфенон,15,Греция,25$,нет,низкая,2 часа,450 год до н.э.,18000,нет,нет,да,"май,июнь,июль",Дорический,Эллинизм,-
Биг Бен,2,Великобритания,22$,нет,низкая,1 час,1843 год н.э.,20000,нет,нет,нет,"июнь,июль,август",Неоготика,-,-
Стоунхендж,10,Великобритания,70$,нет,низкая,1 час,3000 год до н.э.,7700,да,нет,да,"июнь,июль,август",-,-,-